id,User Name,User ID,Follows,Followers,User Location,content,time
1145447528353001473,トッポリーノ,czEAzTAJPX3QyJ7,108,215,,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 21:42:26 +0000 2019
1145447458895327232,荒井あき,araiaki_ema,234,732,ふたご座のO型,"RT @ankorocinema: 発砲！
#わくわくメイカー Ⅳ号戦車
安城コロナワールド https://t.co/vMB2GvrtGb",Sun Jun 30 21:42:10 +0000 2019
1145446787324375040,ガーデルマン・・晴風応援委員会No.4,Gadermann,4998,2975,,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 21:39:30 +0000 2019
1145445860580315136,うぃ🌏,Willlcom,81,285,東京,"不二先輩とテニスする夢、未開栓のコロナの瓶に最初からライムが入ってる夢、マンション共用部のコンセントから盗電してテント張って暮らしてる人を見つけて電源抜いたら追いかけ回される夢、プレ幼稚園で息子ぴの歯磨き練習する夢
いっぱい見た",Sun Jun 30 21:35:49 +0000 2019
1145444580541599744,鳥の子,_oiseaux,27,37,,コロナ：　ママったらぁ～、そんなに怒ってたら美人な顔が台無しだよっ☆笑って笑って♡,Sun Jun 30 21:30:43 +0000 2019
1145443370442997760,高町なのは,lyricalT_nanoha,8,9,,はい。キャロ撃墜、コロナちゃん捕獲 bot,Sun Jun 30 21:25:55 +0000 2019
1145442889582821376,🎨ポコ🎨🌕✨@カチューシャマジプリティ！！,pocoron08,2137,1485,アンツィオ県南部,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 21:24:00 +0000 2019
1145442798625099776,Strap,wasamiko12,276,20,Taiwan,"RT @peso727: 【おしながき】
BDP7thのコロナ314のお品書きです。
321本は売り子さんに直接言ってください！
ご縁で水利硝さん(@syou_syan)の蘭ちゃんモカちゃんのアクキーもおかせていただきます！かわいー！(しょうさんの呟きでみてください)
F-16…",Sun Jun 30 21:23:39 +0000 2019
1145442501982953473,戦カメ@10/19～20半年ぶりの大洗,sencam,886,1723,愛知県名古屋市　お台場　うどん県　大洗,"RT @4031eb818488456: 空砲？wとは言え戦車砲打っ放すキレた映画館は今のところココだけ✨(誉め言葉&amp;多分w)
安城コロナはいいぞ✨
#安城コロナ #ガルパン #わくわくメイカー #日照戦車 #プラ１大橋さんとゆかいな仲間たち https://t.co/9ipo…",Sun Jun 30 21:22:28 +0000 2019
1145440481490325504,乗れない隼（黒）,eagress680,1133,1010,,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 21:14:26 +0000 2019
1145439138935480320,hb1honda,hb1honda1,195,168,,"RT @4031eb818488456: 空砲？wとは言え戦車砲打っ放すキレた映画館は今のところココだけ✨(誉め言葉&amp;多分w)
安城コロナはいいぞ✨
#安城コロナ #ガルパン #わくわくメイカー #日照戦車 #プラ１大橋さんとゆかいな仲間たち https://t.co/9ipo…",Sun Jun 30 21:09:06 +0000 2019
1145438234329018368,🎨ポコ🎨🌕✨@カチューシャマジプリティ！！,pocoron08,2137,1485,アンツィオ県南部,"RT @hgWvkisQBWiwFJS: 安城遠征から日照戦車スタッフ一同無事に帰宅しました。
初の愛知県イベント展示で安城コロナ様、会場にお越しの皆様に、日照戦車を代表して感謝申し上げます。
次回が有りましたら是非❗️
＃日照戦車
＃あんころ祭
#プラ1",Sun Jun 30 21:05:30 +0000 2019
1145438217425969153,🎨ポコ🎨🌕✨@カチューシャマジプリティ！！,pocoron08,2137,1485,アンツィオ県南部,"RT @hinoyaba_ba: ただいまー⤴️
安城コロナさんのイベントより戻りました。
安城コロナさんの心意気❗️ご来場くださった皆さんに❗️感謝です🙏",Sun Jun 30 21:05:26 +0000 2019
